lemma,definition,type,llm_templates
boozibizh,pull h/ aboard,vta,"{'verbs': ['pull'], 'templates': ['{{subject}} pull {{object}} aboard']}"
nanaa'itamaw,"fix, repair (it) for h/",vta,"{'verbs': ['fix', 'repair'], 'templates': ['{{subject}} fix (it) for {{object}}', '{{subject}} repair (it) for {{object}}']}"
boozwebin,throw h/ aboard,vta,"{'verbs': ['throw'], 'templates': ['{{subject}} throw {{object}} aboard']}"
dakaabaawazh,cool h/ with water,vta,"{'verbs': ['cool'], 'templates': ['{{subject}} cool {{object}} with water']}"
jiibaakwaazh,cook it (animate),vta,"{'verbs': ['cook'], 'templates': ['{{subject}} cook {{object}} (animate)']}"
biijwebinamaw,throw (it) here to h/,vta,"{'verbs': ['throw'], 'templates': ['{{subject}} throw (it) here to {{object}}']}"
dakwegizh,cut it (animate; sheet-like) short,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate; sheet-like) short']}"
inigokwadezhwi,cut it (animate) so wide,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate) so wide']}"
gibiskwagi',staunch h/ bleeding,vta,"{'verbs': ['staunch'], 'templates': ['{{subject}} staunch {{object}} bleeding']}"
desabaazh,ride mounted on top of h/; sit astride h/,vta,"{'verbs': ['ride', 'sit'], 'templates': ['{{subject}} ride mounted on top of {{object}}', '{{subject}} sit astride {{object}}']}"
webaabiigin,swing h/ with a line (as a baby in a cradle swing); swing h/ (on a swing),vta,"{'verbs': ['swing', 'swing'], 'templates': ['{{subject}} swing {{object}} with a line (as a baby in a cradle swing)', '{{subject}} swing {{object}} (on a swing)']}"
inaajim,tell of h/ a certain way,vta,"{'verbs': ['tell'], 'templates': ['{{subject}} tell of {{object}} a certain way']}"
zhaagoojibizh,"defeat, beat h/ (with hands)",vta,"{'verbs': ['defeat', 'beat'], 'templates': ['{{subject}} defeat {{object}} (with hands)', '{{subject}} beat {{object}} (with hands)']}"
gadiskibizh,"disconnect it (animate); split it (animate) open (with hands), pull it (animate) apart and open",vta,"{'verbs': ['disconnect', 'split', 'pull'], 'templates': ['{{subject}} disconnect {{object}} (animate)', '{{subject}} split {{object}} (animate) open (with hands)', '{{subject}} pull {{object}} (animate) apart and open']}"
ozhibii',write h/ down; vote for h/,vta,"{'verbs': ['write', 'vote'], 'templates': ['{{subject}} write {{object}} down', '{{subject}} vote for {{object}}']}"
jaagizamaw,burn it up for h/,vta,"{'verbs': ['burn'], 'templates': ['{{subject}} burn it up for {{object}}']}"
bakinaw,"win over h/, beat h/ (in a contest or game)",vta,"{'verbs': ['win', 'beat'], 'templates': ['{{subject}} win over {{object}}', '{{subject}} beat {{object}} (in a contest or game)']}"
gikinawaaji',mark h/,vta,"{'verbs': ['mark'], 'templates': ['{{subject}} mark {{object}}']}"
nookwez,smudge h/ medicinally,vta,"{'verbs': ['smudge'], 'templates': ['{{subject}} smudge {{object}} medicinally']}"
aazhogewizh,"carry, take h/ across",vta,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry {{object}} across', '{{subject}} take {{object}} across']}"
gwayakoboozh,saw h/ straight,vta,"{'verbs': ['saw'], 'templates': ['{{subject}} saw {{object}} straight']}"
gaaskanazootaw,whisper to h/,vta,"{'verbs': ['whisper'], 'templates': ['{{subject}} whisper to {{object}}']}"
dakwegi',make it (animate; sheet-like) short,vta,"{'verbs': ['make'], 'templates': ['{{subject}} make {{object}} (animate; sheet-like) short']}"
giiwitaashkaw,walk around h/,vta,"{'verbs': ['walk'], 'templates': ['{{subject}} walk around {{object}}']}"
wiidoopam,eat with h/,vta,"{'verbs': ['eat'], 'templates': ['{{subject}} eat with {{object}}']}"
biigwa',break h/ (using something),vta,"{'verbs': ['break'], 'templates': ['{{subject}} break {{object}} (using something)']}"
biitooshim,put h/ in between as a layer,vta,"{'verbs': ['put'], 'templates': ['{{subject}} put {{object}} in between as a layer']}"
mikobidaw,find (it) for h/ with hands,vta,"{'verbs': ['find'], 'templates': ['{{subject}} find (it) for {{object}} with hands']}"
noopinizha',"follow, pursue h/",vta,"{'verbs': ['follow', 'pursue'], 'templates': ['{{subject}} follow {{object}}', '{{subject}} pursue {{object}}']}"
naajibatwaazh,run to get h/,vta,"{'verbs': ['run', 'get'], 'templates': ['{{subject}} run to get {{object}}']}"
bimaandawaazh,climb along on h/,vta,"{'verbs': ['climb'], 'templates': ['{{subject}} climb along on {{object}}']}"
wiisagam,hurt h/ by biting,vta,"{'verbs': ['hurt'], 'templates': ['{{subject}} hurt {{object}} by biting']}"
maanikozh,give h/ a bad haircut,vta,"{'verbs': ['give'], 'templates': ['{{subject}} give {{object}} a bad haircut']}"
aandagoozh,hang h/ someplace else; rehang h/,vta,"{'verbs': ['hang', 'rehang'], 'templates': ['{{subject}} hang {{object}} someplace else', '{{subject}} rehang {{object}}']}"
gaajiwebin,shove or throw h/ to hide h/ quickly,vta,"{'verbs': ['shove', 'throw'], 'templates': ['{{subject}} shove {{object}} to hide {{object}} quickly', '{{subject}} throw {{object}} to hide {{object}} quickly']}"
baakidoonebizh,pull h/ mouth open,vta,"{'verbs': ['pull'], 'templates': ['{{subject}} pull {{object}} mouth open']}"
baakibizh,"pull h/ open, uncover h/ (by pulling)",vta,"{'verbs': ['pull', 'uncover'], 'templates': ['{{subject}} pull {{object}} open', '{{subject}} uncover {{object}} (by pulling)']}"
aatebizh,put out a fire on h/ with hands,vta,"{'verbs': ['put'], 'templates': ['{{subject}} put out a fire on {{object}} with hands']}"
