lemma,definition,type,llm_templates
ozhaashaa,"it is slippery, is slick",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be slippery', '{{subject}} be slick']}"
gizhibaabise,"it spins, whirls, revolves (by itself)",vii,"{'verbs': ['spin', 'whirl', 'revolve'], 'templates': ['{{subject}} spin (by oneself)', '{{subject}} whirl (by oneself)', '{{subject}} revolve (by oneself)']}"
biichi-ziigwan,it is a long spring,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a long spring']}"
inashkine,it is so full; it fills something a certain way,vii,"{'verbs': ['be', 'fill'], 'templates': ['{{subject}} be so full', '{{subject}} fill something a certain way']}"
ziiga'igaade,"it is poured out (by somone) (using something), ""they"" pour it out (using something)",vii,"{'verbs': ['be', 'pour'], 'templates': ['{{subject}} be poured out (by someone) (using something)', '(They) pour {{object-intransitive}} out (using something)']}"
ozhaashamon,it (road or trail) is slippery,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (road or trail) be slippery']}"
gizhiminagide,"it (something small and round, grain) is hot",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (something small and round, grain) be hot']}"
biijigaade,"it is brought (by someone), ""they"" bring it",vii,"{'verbs': ['be', 'bring'], 'templates': ['{{subject}} be brought (by someone)', '(they) bring {{object-intransitive}}']}"
ozhaashise,"it slips, slides (by itself)",vii,"{'verbs': ['slip', 'slide'], 'templates': ['{{subject}} slip (by oneself)', '{{subject}} slide (by oneself)']}"
aazhawamon,it (road or trail) goes across,vii,"{'verbs': ['go'], 'templates': ['{{subject}} (road or trail) go across']}"
nigiigwakamikadin,"the ground is frosted, there is frost on the ground",vii,"{'verbs': ['be', 'be'], 'templates': ['{{subject}} be frosted', 'there be frost on the ground']}"
zegitaagwad,"it sounds scary, sounds frightening",vii,"{'verbs': ['sound', 'sound'], 'templates': ['{{subject}} sound scary', '{{subject}} sound frightening']}"
wawezhichigaade,"it is decorated (by someone), ""they"" decorate it",vii,"{'verbs': ['be', 'decorate'], 'templates': ['{{subject}} be decorated (by someone)', '(they) decorate {{object-intransitive}}']}"
onzaamaagonagaa,there is too much snow,vii,"{'verbs': ['be'], 'templates': ['there be too much snow']}"
madwezigwadin,the sound of ice cracking is heard,vii,"{'verbs': ['be'], 'templates': ['the sound of {{object-intransitive}} (ice) cracking be heard']}"
gibiiga'igaade,"it (sheet-like) is closed, is shut (by someone), ""they"" close, shut it (sheet-like)",vii,"{'verbs': ['be', 'close', 'shut'], 'templates': ['{{subject}} (sheet-like) be closed', '{{subject}} (sheet-like) be shut (by someone)', '(they) close {{object-intransitive}} (sheet-like)', '(they) shut {{object-intransitive}} (sheet-like)']}"
zasakwaa,there is a heavy frost,vii,"{'verbs': ['be'], 'templates': ['there be a heavy frost']}"
naananinoon,"they (inanimate) are five, there are five of them",vii,"{'verbs': ['be', 'be'], 'templates': ['{{subject}} be five', 'there be five of them']}"
akobii,it has water or liquid in it so high,vii,"{'verbs': ['have'], 'templates': ['{{subject}} have water or liquid in it so high']}"
gakaamikijiwan,it is a waterfall,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a waterfall']}"
inigokoonagad,"it (a boat) is of such a size, is so big",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (a boat) be of such a size', '{{subject}} (a boat) be so big']}"
datakibiisaa,it is cold rain,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be cold rain']}"
ikowebinigaade,"it is pushed, shoved, tossed, thrown out of the way (by someone), ""they"" push, shove, toss, throw it aside or out of the way",vii,"{'verbs': ['be', 'push', 'shove', 'toss', 'throw'], 'templates': ['{{subject}} be pushed out of the way (by someone)', '{{subject}} be shoved out of the way (by someone)', '{{subject}} be tossed out of the way (by someone)', '{{subject}} be thrown out of the way (by someone)', '(they) push {{object-intransitive}} aside or out of the way', '(they) shove {{object-intransitive}} aside or out of the way', '(they) toss {{object-intransitive}} aside or out of the way', '(they) throw {{object-intransitive}} aside or out of the way']}"
apiichisin,"it lies so thick, so deep, to such a height; is piled or stacked so thick, so deep, to such a height",vii,"{'verbs': ['lie', 'be', 'pile', 'stack'], 'templates': ['{{subject}} lie so thick, so deep, to such a height', '{{subject}} be piled so thick, so deep, to such a height', '{{subject}} be stacked so thick, so deep, to such a height']}"
daashkakamigaa,it (ground) is split,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (ground) be split']}"
bengobagaa,there are dry leaves,vii,"{'verbs': ['be'], 'templates': ['there be dry leaves']}"
miskobagad,"it has red leaves, is a red leaf",vii,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} have red leaves', '{{subject}} be a red leaf']}"
midaaso-diba'iganed,it is ten o'clock,vii,"{'verbs': ['be'], 'templates': [""{{subject}} be ten o'clock""]}"
waasikwaabikad,it (mineral) is shiny,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (mineral) be shiny']}"
okwiinadoon,"they are in a bunch, are in a pile",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be in a bunch', '{{subject}} be in a pile']}"
ozowaamagad,it has a tail,vii,"{'verbs': ['have'], 'templates': ['{{subject}} have a tail']}"
wiinadaawangaa,there is dirty sand,vii,"{'verbs': ['be'], 'templates': ['there be dirty sand']}"
ogidaakiiwemon,it (a road or trail) leads uphill,vii,"{'verbs': ['lead'], 'templates': ['{{subject}} (a road or trail) lead uphill']}"
bakwebiigaashkaa,"the waves make the water turbid, roiled, or muddy; the waves dirty the water",vii,"{'verbs': ['make', 'dirty'], 'templates': ['the waves make {{object-intransitive}} turbid, roiled, or muddy', 'the waves dirty {{object-intransitive}}']}"
onzaamashkine,it is overfull (with solids),vii,"{'verbs': ['be'], 'templates': ['{{subject}} be overfull (with solids)']}"
ganawaabanjigaade,"it is looked at (by someone, ""they"" look at it, it is watched (by someone),  ""they"" watch it",vii,"{'verbs': ['be', 'look', 'watch'], 'templates': ['{{subject}} be looked at (by someone)', '(they) look at {{object-intransitive}}', '{{subject}} be watched (by someone)', '(they) watch {{object-intransitive}}']}"
biichaa,it is far away,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be far away']}"
agwanaabikaa,there is a cave or hollow under the rock ledge,vii,"{'verbs': ['be'], 'templates': ['there be a cave or hollow under the rock ledge']}"
gwiishkoshwewegamide,it whistles from boiling,vii,"{'verbs': ['whistle'], 'templates': ['{{subject}} whistle from boiling']}"
mamaachaawan,they are big,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be big']}"
inaabadad,"it is used in a certain way, is employed in a certain way",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be used in a certain way', '{{subject}} be employed in a certain way']}"
giishkakamigaa,it is a bank or steep face of earth,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a bank or steep face of earth']}"
ishpibide,it flies high,vii,"{'verbs': ['fly'], 'templates': ['{{subject}} fly high']}"
gichiwijiishkiwesin,it is stuck in the mud,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be stuck in the mud']}"
inweweyaashkaa,waves make a certain sound,vii,"{'verbs': ['make'], 'templates': ['{{subject}} (waves) make a certain sound']}"
maazhibide,"it runs, operates poorly (as a machine)",vii,"{'verbs': ['run', 'operate'], 'templates': ['{{subject}} run', '{{subject}} operate poorly (as a machine)']}"
bibagisin,it lies in a thin layer,vii,"{'verbs': ['lie'], 'templates': ['{{subject}} lie in a thin layer']}"
dibikaabaminaagwad,it is twilight,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be twilight']}"
mamaangiminagadoon,they (something globular) are big,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (something globular) be big']}"
bikwadaawangaa,it is sand dune or sand hill,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be sand dune or sand hill']}"
wewebaasin,"it is blown back and forth (by the wind), flutters, flaps",vii,"{'verbs': ['be', 'flutter', 'flap'], 'templates': ['{{subject}} be blown back and forth (by the wind)', '{{subject}} flutter', '{{subject}} flap']}"
agaasin,it is small,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be small']}"
biinjijiwan,it flows in,vii,"{'verbs': ['flow'], 'templates': ['{{subject}} flow in']}"
bashkwakamigaa,it is bare ground (cleared of vegetation),vii,"{'verbs': ['be'], 'templates': ['{{subject}} be bare ground (cleared of vegetation)']}"
wiinisin,"it is dirty (from contact), gets dirty from lying around",vii,"{'verbs': ['be', 'get'], 'templates': ['{{subject}} be dirty (from contact)', '{{subject}} get dirty from lying around']}"
biidweweyaanimad,the wind is heard coming,vii,"{'verbs': ['be'], 'templates': ['the {{subject}} (wind) be heard coming']}"
gikinawaajibii'igaade,"it is marked (by someone), ""they"" mark it; it is traced by someone, ""they"" trace it",vii,"{'verbs': ['be', 'mark', 'trace'], 'templates': ['{{subject}} be marked (by someone)', '(they) mark {{object-intransitive}}', '{{subject}} be traced by someone', '(they) trace {{object-intransitive}}']}"
deba'oode,it fits in,vii,"{'verbs': ['fit'], 'templates': ['{{subject}} fit in']}"
inaabikad,it is a certain way (as something mineral),vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a certain way (as something mineral)']}"
minode,it is well cooked,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be well cooked']}"
aate,it is extinguished,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be extinguished']}"
biigizawakwad,it is hazy; there are scattered clouds,vii,"{'verbs': ['be', 'be'], 'templates': ['{{subject}} be hazy', 'there be scattered clouds']}"
dazhisin,it lies in a certain place,vii,"{'verbs': ['lie'], 'templates': ['{{subject}} lie in a certain place']}"
gibokiwasigaade,"it is glued shut (by someone), ""they"" glue it shut",vii,"{'verbs': ['be', 'glue'], 'templates': ['{{subject}} be glued shut (by someone)', '(they) glue {{object-intransitive}} shut']}"
zaatepogwad,"it tastes rancid, tastes stale",vii,"{'verbs': ['taste'], 'templates': ['{{subject}} taste rancid', '{{subject}} taste stale']}"
oshezigoshkaa,it is an ice pressure ridge,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be an ice pressure ridge']}"
bazagoke,"it sticks, adheres",vii,"{'verbs': ['stick', 'adhere'], 'templates': ['{{subject}} stick', '{{subject}} adhere']}"
azhiwaasin,it gets dull,vii,"{'verbs': ['get'], 'templates': ['{{subject}} get dull']}"
bimidewan,it is greasy,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be greasy']}"
zhaagawibagad,it has oval leaves,vii,"{'verbs': ['have'], 'templates': ['{{subject}} have oval leaves']}"
apiichibiiyaa,the water is at such a level,vii,"{'verbs': ['be'], 'templates': ['the {{subject}} (water) be at such a level']}"
ondaasin,"it is blown from a certain place (by the wind); sails, soars from a certain place",vii,"{'verbs': ['be', 'blow', 'sail', 'soar'], 'templates': ['{{subject}} be blown from a certain place (by the wind)', '{{subject}} blow from a certain place', '{{subject}} sail from a certain place', '{{subject}} soar from a certain place']}"
maazhimaate,"it has a bad aroma, smells bad burning or cooking",vii,"{'verbs': ['have', 'smell'], 'templates': ['{{subject}} have a bad aroma', '{{subject}} smell bad burning or cooking']}"
azheshkaa,"it goes back, returns",vii,"{'verbs': ['go', 'return'], 'templates': ['{{subject}} go back', '{{subject}} return']}"
azhawaasin,it gets dull,vii,"{'verbs': ['get'], 'templates': ['{{subject}} get dull']}"
ningwa'igaade,"it is buried (by someone), ""they"" bury it",vii,"{'verbs': ['be', 'bury'], 'templates': ['{{subject}} be buried (by someone)', '(they) bury {{object-intransitive}}']}"
niisaabiiginigaade,"it is lowered on a rope (by someone), ""they"" lower it on a rope",vii,"{'verbs': ['be', 'lower'], 'templates': ['{{subject}} be lowered on a rope (by someone)', '(they) lower {{object-intransitive}} on a rope']}"
michaabiigad,"it (string-like) is big, is thick",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (string-like) be big', '{{subject}} (string-like) be thick']}"
geshawisin,"it is loose, fit loosely",vii,"{'verbs': ['be', 'fit'], 'templates': ['{{subject}} be loose', '{{subject}} fit loosely']}"
bimaaboode,it drifts along on the current,vii,"{'verbs': ['drift'], 'templates': ['{{subject}} drift along on the current']}"
akwaa,"it is a certain length, a certain height, is so long, is so tall",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a certain length', '{{subject}} be a certain height', '{{subject}} be so long', '{{subject}} be so tall']}"
dakisagaa,it is a cool floor,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a cool floor']}"
ginwashkad,"it (plant, grass) has a long stalk, is long, is tall",vii,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} (plant, grass) have a long stalk', '{{subject}} (plant, grass) be long', '{{subject}} (plant, grass) be tall']}"
zhaangachinoon,"they (inanimate) are nine, there are nine of them",vii,"{'verbs': ['be', 'be'], 'templates': ['{{subject}} be nine', 'there be nine of them']}"
bapakise,"it (something string-like) keeps parting, keeps breaking apart",vii,"{'verbs': ['keep', 'keep'], 'templates': ['{{subject}} (something string-like) keep parting', '{{subject}} (something string-like) keep breaking apart']}"
gibagoode,it hangs covering or blocking,vii,"{'verbs': ['hang'], 'templates': ['{{subject}} hang covering or blocking']}"
babaamise,it flies about,vii,"{'verbs': ['fly'], 'templates': ['{{subject}} fly about']}"
mashkawaagamin,it (a liquid) is strong,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (a liquid) be strong']}"
ondaadad,"it comes from a certain place, originates in a certain place",vii,"{'verbs': ['come', 'originate'], 'templates': ['{{subject}} come from a certain place', '{{subject}} originate in a certain place']}"
zaagigin,"it (a plant) sprouts, comes up, grows out (of the ground)",vii,"{'verbs': ['sprout', 'come', 'grow'], 'templates': ['{{subject}} (a plant) sprout (of the ground)', '{{subject}} (a plant) come up (of the ground)', '{{subject}} (a plant) grow out (of the ground)']}"
aanikoosijigaade,"it is linked, is hitched on; it is laid joining something (by someone), ""they"" lay it joining something",vii,"{'verbs': ['be', 'hitch', 'lay'], 'templates': ['{{subject}} be linked', '{{subject}} be hitched on', '{{subject}} be laid joining something (by someone)', '(they) lay {{object-intransitive}} joining something']}"
biigojiishkaa,it bursts open,vii,"{'verbs': ['burst'], 'templates': ['{{subject}} burst open']}"
inigokwadesagaa,"it has a floor area of a certain width, is so wide a room",vii,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} have a floor area of a certain width', '{{subject}} be so wide a room']}"
gibichibiisaa,the rain lets up,vii,"{'verbs': ['let'], 'templates': ['the {{subject}} let up']}"
ginoodinaa,it is a long hill,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a long hill']}"
aginde,it is counted; it has a cost or price,vii,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be counted', '{{subject}} have a cost or price']}"
ombiigwewesin,it makes a racket,vii,"{'verbs': ['make'], 'templates': ['{{subject}} make a racket']}"
naazhikaa,it goes down,vii,"{'verbs': ['go'], 'templates': ['{{subject}} go down']}"
